tier,testbed,arm,solver,order,kappa,h,nfe,err_l2,diverged,seed
1,gaussian,A,euler,1,10.0,0.33299999999999996,3,0.6638634197084777,0,0
1,gaussian,A,euler,1,10.0,0.24975000000000003,4,0.2317645730149219,0,0
1,gaussian,A,euler,1,10.0,0.19979999999999998,5,0.03867821424816887,0,0
1,gaussian,A,euler,1,10.0,0.16649999999999998,6,0.04457345059168412,0,0
1,gaussian,A,euler,1,10.0,0.12487499999999996,8,0.09061907718619608,0,0
1,gaussian,A,euler,1,10.0,0.09989999999999999,10,0.09147089328952332,0,0
1,gaussian,A,euler,1,10.0,0.08325000000000005,12,0.08392710417685639,0,0
1,gaussian,A,euler,1,10.0,0.06659999999999999,15,0.07200670402580926,0,0
1,gaussian,A,euler,1,10.0,0.04995000000000005,20,0.05717738070755113,0,0
1,gaussian,A,euler,1,10.0,0.033299999999999996,30,0.04019374406429257,0,0
1,gaussian,A,euler,1,10.0,0.019979999999999998,50,0.025153041394559244,0,0
1,gaussian,A,euler,1,10.0,0.012487499999999985,80,0.016100523265706154,0,0
1,gaussian,A,euler,1,10.0,0.008325000000000027,120,0.010878148885122892,0,0
1,gaussian,A,midpoint,2,10.0,0.999,2,0.9100050763193365,0,0
1,gaussian,A,midpoint,2,10.0,0.49950000000000006,4,1.025358357823467,0,0
1,gaussian,A,midpoint,2,10.0,0.49950000000000006,4,1.025358357823467,0,0
1,gaussian,A,midpoint,2,10.0,0.33299999999999996,6,0.6822337916815903,0,0
1,gaussian,A,midpoint,2,10.0,0.24975000000000003,8,0.3689900189050642,0,0
1,gaussian,A,midpoint,2,10.0,0.19979999999999998,10,0.211722789058273,0,0
1,gaussian,A,midpoint,2,10.0,0.16649999999999998,12,0.1311038223280285,0,0
1,gaussian,A,midpoint,2,10.0,0.14271428571428568,14,0.08665433226253742,0,0
1,gaussian,A,midpoint,2,10.0,0.09989999999999999,20,0.033458820703072614,0,0
1,gaussian,A,midpoint,2,10.0,0.06659999999999999,30,0.012148273480821026,0,0
1,gaussian,A,midpoint,2,10.0,0.039959999999999996,50,0.0037208886370535114,0,0
1,gaussian,A,midpoint,2,10.0,0.02497499999999997,80,0.00131592740581211,0,0
1,gaussian,A,midpoint,2,10.0,0.016650000000000054,120,0.0005510847874404041,0,0
1,gaussian,A,rk4,4,10.0,0.999,4,1.1965206875323884,0,0
1,gaussian,A,rk4,4,10.0,0.999,4,1.1965206875323884,0,0
1,gaussian,A,rk4,4,10.0,0.999,4,1.1965206875323884,0,0
1,gaussian,A,rk4,4,10.0,0.999,4,1.1965206875323884,0,0
1,gaussian,A,rk4,4,10.0,0.49950000000000006,8,0.27119988484842805,0,0
1,gaussian,A,rk4,4,10.0,0.49950000000000006,8,0.27119988484842805,0,0
1,gaussian,A,rk4,4,10.0,0.33299999999999996,12,0.06785691238447576,0,0
1,gaussian,A,rk4,4,10.0,0.33299999999999996,12,0.06785691238447576,0,0
1,gaussian,A,rk4,4,10.0,0.19979999999999998,20,0.010973062356057129,0,0
1,gaussian,A,rk4,4,10.0,0.14271428571428568,28,0.009342465252695348,0,0
1,gaussian,A,rk4,4,10.0,0.08325000000000005,48,0.0015506293981256086,0,0
1,gaussian,A,rk4,4,10.0,0.04995000000000005,80,0.00015210992802959907,0,0
1,gaussian,A,rk4,4,10.0,0.033299999999999996,120,2.521680163254879e-05,0,0
1,gaussian,B,euler,1,10.0,3.194231113129701,3,1.1209404749858085,0,0
1,gaussian,B,euler,1,10.0,2.3956733348472756,4,0.4825567729701188,0,0
1,gaussian,B,euler,1,10.0,1.9165386678778207,5,0.894585701027101,0,0
1,gaussian,B,euler,1,10.0,1.5971155565648507,6,0.3290460846670171,0,0
1,gaussian,B,euler,1,10.0,1.1978366674236378,8,0.29466766918169773,0,0
1,gaussian,B,euler,1,10.0,0.9582693339389099,10,0.22872691831796504,0,0
1,gaussian,B,euler,1,10.0,0.7985577782824249,12,0.18240811142482094,0,0
1,gaussian,B,euler,1,10.0,0.6388462226259399,15,0.14044555058434643,0,0
1,gaussian,B,euler,1,10.0,0.47913466696945495,20,0.1017667214494318,0,0
1,gaussian,B,euler,1,10.0,0.31942311131296997,30,0.0656894722761272,0,0
1,gaussian,B,euler,1,10.0,0.19165386678778162,50,0.038460975213397086,0,0
1,gaussian,B,euler,1,10.0,0.11978366674236351,80,0.023720781300779335,0,0
1,gaussian,B,euler,1,10.0,0.07985577782824294,120,0.01569970089192449,0,0
1,gaussian,B,midpoint,2,10.0,9.582693339389103,2,7.527818439378617,0,0
1,gaussian,B,midpoint,2,10.0,4.791346669694551,4,1.7038910887809655,0,0
1,gaussian,B,midpoint,2,10.0,4.791346669694551,4,1.7038910887809655,0,0
1,gaussian,B,midpoint,2,10.0,3.194231113129701,6,1.0016705963456245,0,0
1,gaussian,B,midpoint,2,10.0,2.3956733348472756,8,0.12912361759003455,0,0
1,gaussian,B,midpoint,2,10.0,1.9165386678778207,10,0.03901066714155013,0,0
1,gaussian,B,midpoint,2,10.0,1.5971155565648507,12,0.10288578783329093,0,0
1,gaussian,B,midpoint,2,10.0,1.3689561913413004,14,0.03687346413968872,0,0
1,gaussian,B,midpoint,2,10.0,0.9582693339389099,20,0.008866880575416973,0,0
1,gaussian,B,midpoint,2,10.0,0.6388462226259399,30,0.007671130669415856,0,0
1,gaussian,B,midpoint,2,10.0,0.38330773357556414,50,0.003364829075147234,0,0
