tier,testbed,arm,solver,order,kappa,h,nfe,err_l2,diverged,seed
1,gaussian,C,dpm1,1,1.0,9.582693339389103,1,3.5388865583419107,0,0
1,gaussian,C,dpm3,3,1.0,9.582693339389103,3,53.50236055331339,0,0
1,gaussian,C,dpm1,1,1.0,4.791346669694551,2,1.8158762414923177,0,0
1,gaussian,C,dpm3,3,1.0,4.791346669694551,6,0.216298554351001,0,0
1,gaussian,C,dpm1,1,1.0,3.194231113129701,3,2.224525440608102,0,0
1,gaussian,C,dpm3,3,1.0,3.194231113129701,9,0.8487960889393134,0,0
1,gaussian,C,dpm1,1,1.0,2.3956733348472756,4,1.5140975696655552,0,0
1,gaussian,C,dpm3,3,1.0,2.3956733348472756,12,0.0681853698471731,0,0
1,gaussian,C,dpm1,1,1.0,1.9165386678778207,5,1.407419970054899,0,0
1,gaussian,C,dpm3,3,1.0,1.9165386678778207,15,0.11039876577789498,0,0
1,gaussian,C,dpm1,1,1.0,1.5971155565648507,6,1.1729149551617701,0,0
1,gaussian,C,dpm3,3,1.0,1.5971155565648507,18,0.03211716190229092,0,0
1,gaussian,C,dpm1,1,1.0,1.1978366674236378,8,0.9306242426059522,0,0
1,gaussian,C,dpm3,3,1.0,1.1978366674236378,24,0.014362457760357774,0,0
1,gaussian,C,dpm1,1,1.0,0.9582693339389099,10,0.7668654621219716,0,0
1,gaussian,C,dpm3,3,1.0,0.9582693339389099,30,0.006930818703031408,0,0
1,gaussian,C,dpm1,1,1.0,0.7985577782824249,12,0.6514874428093266,0,0
1,gaussian,C,dpm3,3,1.0,0.7985577782824249,36,0.003728161324696378,0,0
1,gaussian,C,dpm1,1,1.0,0.5989183337118194,16,0.5005858975794758,0,0
1,gaussian,C,dpm3,3,1.0,0.5989183337118194,48,0.0014050086903311992,0,0
1,gaussian,C,dpm1,1,1.0,0.47913466696945495,20,0.4063714112897631,0,0
1,gaussian,C,dpm3,3,1.0,0.47913466696945495,60,0.0006670868243046907,0,0
1,gaussian,C,dpm1,1,1.0,0.3992788891412129,24,0.3419768443246277,0,0
1,gaussian,C,dpm3,3,1.0,0.3992788891412129,72,0.00036584180972200385,0,0
1,gaussian,C,dpm1,1,1.0,0.29945916685590923,32,0.25965508184001956,0,0
1,gaussian,C,dpm3,3,1.0,0.29945916685590923,96,0.00014368307742735522,0,0
1,gaussian,C,dpm1,1,1.0,0.19963944457060645,48,0.17525364061602525,0,0
1,gaussian,C,dpm3,3,1.0,0.19963944457060645,144,3.9423029790328324e-05,0,0
1,gaussian,C,dpm1,1,1.0,0.14972958342795462,64,0.13225665583491583,0,0
1,gaussian,C,dpm3,3,1.0,0.14972958342795462,192,1.5969681450366092e-05,0,0
1,gaussian,C,dpm1,1,1.0,0.09981972228530278,96,0.08871992408128453,0,0
1,gaussian,C,dpm3,3,1.0,0.09981972228530278,288,4.536329173100078e-06,0,0
1,gaussian,C,dpm1,1,1.0,0.07486479171397775,128,0.06674703656670442,0,0
1,gaussian,C,dpm3,3,1.0,0.07486479171397775,384,1.8726702876723536e-06,0,0
1,gaussian,C,dpm1,1,10.0,9.582693339389103,1,1.9522942255355777,0,0
1,gaussian,C,dpm3,3,10.0,9.582693339389103,3,41.26454597914871,0,0
1,gaussian,C,dpm1,1,10.0,4.791346669694551,2,1.1502870304202606,0,0
1,gaussian,C,dpm3,3,10.0,4.791346669694551,6,0.20396831415993222,0,0
1,gaussian,C,dpm1,1,10.0,3.194231113129701,3,1.1558828535522518,0,0
