s,nfe,method,err
0.0001,10,dpm1,0.00019588391902613644
0.0001,10,euler_t,0.0037451387173391406
0.0001,10,euler_lam,0.0018092445830649093
0.0001,10,dpm2,0.00021568241868091483
0.0001,10,rk2_t,0.008290967120417764
0.0001,10,rk2_lam,0.01869687130825551
0.0001,20,dpm1,0.00010097377791524879
0.0001,20,euler_t,0.0011389656974343683
0.0001,20,euler_lam,0.0011737841331792608
0.0001,20,dpm2,5.6432351495500814e-05
0.0001,20,rk2_t,0.0009254923735407411
0.0001,20,rk2_lam,0.0017423501834573833
0.0001,50,dpm1,4.109890870778311e-05
0.0001,50,euler_t,0.000520419257260378
0.0001,50,euler_lam,0.000503840988461537
0.0001,50,dpm2,8.448631962682364e-06
0.0001,50,rk2_t,0.00018341591764008363
0.0001,50,rk2_lam,0.0001609732678168384
0.00021544346900318845,10,dpm1,0.00033592364968433185
0.00021544346900318845,10,euler_t,0.0033512083286278012
0.00021544346900318845,10,euler_lam,0.002239640110118196
0.00021544346900318845,10,dpm2,0.00044681459006590827
0.00021544346900318845,10,rk2_t,0.008667890392407005
0.00021544346900318845,10,rk2_lam,0.01787956189853358
0.00021544346900318845,20,dpm1,0.0001732770264289466
0.00021544346900318845,20,euler_t,0.0007806705244430916
0.00021544346900318845,20,euler_lam,0.0014121085385538632
0.00021544346900318845,20,dpm2,0.00010210278432926578
0.00021544346900318845,20,rk2_t,0.0012583562771428095
0.00021544346900318845,20,rk2_lam,0.0018605925909893901
0.00021544346900318845,50,dpm1,7.083895156633846e-05
0.00021544346900318845,50,euler_t,0.000237182772734408
0.00021544346900318845,50,euler_lam,0.0006020979826883834
0.00021544346900318845,50,dpm2,1.4780595288027467e-05
0.00021544346900318845,50,rk2_t,4.742742249185189e-05
0.00021544346900318845,50,rk2_lam,0.00018150784292612866
0.00046415888336127773,10,dpm1,0.0005350838783041473
0.00046415888336127773,10,euler_t,0.002719040145058747
0.00046415888336127773,10,euler_lam,0.002939616961501258
0.00046415888336127773,10,dpm2,0.0008168079875002206
0.00046415888336127773,10,rk2_t,0.00926355137009273
0.00046415888336127773,10,rk2_lam,0.016670033985403267
0.00046415888336127773,20,dpm1,0.000278659325633352
0.00046415888336127773,20,euler_t,0.00022414855789139147
0.00046415888336127773,20,euler_lam,0.0017730091676961225
0.00046415888336127773,20,dpm2,0.00016590092225430815
0.00046415888336127773,20,rk2_t,0.0017608726813261536
0.00046415888336127773,20,rk2_lam,0.0020173393184569188
0.00046415888336127773,50,dpm1,0.00011450136862870171
0.00046415888336127773,50,euler_t,0.00016687645593311921
0.00046415888336127773,50,euler_lam,0.0007457328532062186
0.00046415888336127773,50,dpm2,2.400306743806889e-05
0.00046415888336127773,50,rk2_t,0.0003456040726459563
0.00046415888336127773,50,rk2_lam,0.0002101200142293337
0.001,10,dpm1,0.0008172705320560686
0.001,10,euler_t,0.001783803930593966
0.001,10,euler_lam,0.00398957259110739
0.001,10,dpm2,0.0012571340502375615
0.001,10,rk2_t,0.010120749991680129
0.001,10,rk2_lam,0.015208974205486694
0.001,20,dpm1,0.00042910369436025995
0.001,20,euler_t,0.0005531911403992432
0.001,20,euler_lam,0.0022695519794252075
0.001,20,dpm2,0.0002549718461848172
0.001,20,rk2_t,0.002425395018582942
0.001,20,rk2_lam,0.0021808740645533533
0.001,50,dpm1,0.00017700435845463287
0.001,50,euler_t,0.0006534974692293293
0.001,50,euler_lam,0.0009360402573031497
0.001,50,dpm2,3.710117863040593e-05
0.001,50,rk2_t,0.0006324771814803917
0.001,50,rk2_lam,0.0002445211965478849
0.002154434690031882,10,dpm1,0.0012234727900591923
0.002154434690031882,10,euler_t,0.0005038411060793151
0.002154434690031882,10,euler_lam,0.005438060541333626
0.002154434690031882,10,dpm2,0.0016917240150754603
0.002154434690031882,10,rk2_t,0.011235391110897034
0.002154434690031882,10,rk2_lam,0.013748816843024364
0.002154434690031882,20,dpm1,0.0006449089852323562
0.002154434690031882,20,euler_t,0.0015150924314683168
0.002154434690031882,20,euler_lam,0.0028935334506884425
0.002154434690031882,20,dpm2,0.0003832810361400702
0.002154434690031882,20,rk2_t,0.003159639176652693
0.002154434690031882,20,rk2_lam,0.002297187687546288
0.002154434690031882,50,dpm1,0.0002666406864920033
0.002154434690031882,50,euler_t,0.0011248439416261507
0.002154434690031882,50,euler_lam,0.00116648576182617
0.002154434690031882,50,dpm2,5.5831812601287584e-05
