tier,testbed,arm,solver,order,kappa,h,nfe,err_l2,diverged,seed
1,gaussian,A,euler,1,1.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,midpoint,2,1.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,heun3,3,1.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,rk4,4,1.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,ab2,2,1.0,0.49950000000000006,nan,nan,0,0
1,gaussian,B,euler,1,1.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,midpoint,2,1.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,heun3,3,1.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,rk4,4,1.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,ab2,2,1.0,4.791346669694551,nan,nan,0,0
1,gaussian,A,euler,1,10.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,midpoint,2,10.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,heun3,3,10.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,rk4,4,10.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,ab2,2,10.0,0.49950000000000006,nan,nan,0,0
1,gaussian,B,euler,1,10.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,midpoint,2,10.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,heun3,3,10.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,rk4,4,10.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,ab2,2,10.0,4.791346669694551,nan,nan,0,0
1,gaussian,A,euler,1,100.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,midpoint,2,100.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,heun3,3,100.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,rk4,4,100.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,ab2,2,100.0,0.49950000000000006,nan,nan,0,0
1,gaussian,B,euler,1,100.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,midpoint,2,100.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,heun3,3,100.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,rk4,4,100.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,ab2,2,100.0,4.791346669694551,nan,nan,0,0
1,gaussian,A,euler,1,1000.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,midpoint,2,1000.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,heun3,3,1000.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,rk4,4,1000.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,ab2,2,1000.0,0.49950000000000006,nan,nan,0,0
1,gaussian,B,euler,1,1000.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,midpoint,2,1000.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,heun3,3,1000.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,rk4,4,1000.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,ab2,2,1000.0,4.791346669694551,nan,nan,0,0
1,gaussian,A,euler,1,10000.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,midpoint,2,10000.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,heun3,3,10000.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,rk4,4,10000.0,0.49950000000000006,nan,nan,0,0
1,gaussian,A,ab2,2,10000.0,0.49950000000000006,nan,nan,0,0
1,gaussian,B,euler,1,10000.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,midpoint,2,10000.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,heun3,3,10000.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,rk4,4,10000.0,4.791346669694551,nan,nan,0,0
1,gaussian,B,ab2,2,10000.0,4.791346669694551,nan,nan,0,0
