tier,testbed,arm,solver,order,kappa,h,nfe,err_l2,diverged,seed
1,gaussian,A,euler,1,10.0,0.050000000000000044,16,0.11498188657681269,0,0
1,gaussian,A,euler,1,10.0,0.025000000000000022,32,0.05622301643077853,0,0
1,gaussian,A,euler,1,10.0,0.012499999999999956,64,0.027794380928454734,0,0
1,gaussian,A,euler,1,10.0,0.006249999999999978,128,0.013818244422894792,0,0
1,gaussian,A,euler,1,10.0,0.0031250000000000444,256,0.006889446205023078,0,0
1,gaussian,A,euler,1,10.0,0.0015625000000000222,512,0.0034398127138574024,0,0
1,gaussian,A,midpoint,2,10.0,0.050000000000000044,32,0.0011471623411921962,0,0
1,gaussian,A,midpoint,2,10.0,0.025000000000000022,64,0.0002743179220380084,0,0
1,gaussian,A,midpoint,2,10.0,0.012499999999999956,128,6.664241425534992e-05,0,0
1,gaussian,A,midpoint,2,10.0,0.006249999999999978,256,1.6398843974089726e-05,0,0
1,gaussian,A,midpoint,2,10.0,0.0031250000000000444,512,4.065887537390618e-06,0,0
1,gaussian,A,midpoint,2,10.0,0.0015625000000000222,1024,1.0121787763793836e-06,0,0
1,gaussian,A,heun3,3,10.0,0.050000000000000044,48,4.088244351845323e-05,0,0
1,gaussian,A,heun3,3,10.0,0.025000000000000022,96,4.952224805637208e-06,0,0
1,gaussian,A,heun3,3,10.0,0.012499999999999956,192,6.113297238102517e-07,0,0
1,gaussian,A,heun3,3,10.0,0.006249999999999978,384,7.598991443053828e-08,0,0
1,gaussian,A,heun3,3,10.0,0.0031250000000000444,768,9.473620636258723e-09,0,0
1,gaussian,A,heun3,3,10.0,0.0015625000000000222,1536,1.1826777807203543e-09,0,0
1,gaussian,A,rk4,4,10.0,0.050000000000000044,64,3.1789254327186864e-06,0,0
1,gaussian,A,rk4,4,10.0,0.025000000000000022,128,2.300082375858582e-07,0,0
1,gaussian,A,rk4,4,10.0,0.012499999999999956,256,1.5204785971191156e-08,0,0
1,gaussian,A,rk4,4,10.0,0.006249999999999978,512,9.732474173979202e-10,0,0
1,gaussian,A,rk4,4,10.0,0.0031250000000000444,1024,6.14954424033365e-11,0,0
1,gaussian,A,rk4,4,10.0,0.0015625000000000222,2048,3.8612136277451454e-12,0,0
1,gaussian,A,ab2,2,10.0,0.012499999999999956,65,0.0004954056763303172,0,0
1,gaussian,A,ab2,2,10.0,0.006249999999999978,129,0.00011676847395555012,0,0
1,gaussian,A,ab2,2,10.0,0.0031250000000000444,257,2.8262528722221452e-05,0,0
1,gaussian,A,ab2,2,10.0,0.0015625000000000222,513,6.946427472762324e-06,0,0
1,gaussian,A,ab2,2,10.0,0.0007812499999999556,1025,1.7215103674858826e-06,0,0
1,gaussian,A,ab2,2,10.0,0.0003906249999999778,2049,4.2847802731010244e-07,0,0
1,gaussian,B,euler,1,10.0,0.3345612832491236,16,0.1293618393043459,0,0
1,gaussian,B,euler,1,10.0,0.16728064162456224,32,0.06179885636668998,0,0
1,gaussian,B,euler,1,10.0,0.08364032081228068,64,0.030232164802643374,0,0
1,gaussian,B,euler,1,10.0,0.04182016040614034,128,0.014955537068578441,0,0
1,gaussian,B,euler,1,10.0,0.020910080203070613,256,0.0074383902225582926,0,0
1,gaussian,B,euler,1,10.0,0.010455040101534863,512,0.003709443664052083,0,0
1,gaussian,B,midpoint,2,10.0,0.3345612832491236,32,0.004025725903063747,0,0
1,gaussian,B,midpoint,2,10.0,0.16728064162456224,64,0.0009034019341235361,0,0
1,gaussian,B,midpoint,2,10.0,0.08364032081228068,128,0.00021371115274965212,0,0
1,gaussian,B,midpoint,2,10.0,0.04182016040614034,256,5.195716383312705e-05,0,0
1,gaussian,B,midpoint,2,10.0,0.020910080203070613,512,1.2808403075578054e-05,0,0
1,gaussian,B,midpoint,2,10.0,0.010455040101534863,1024,3.179673985266466e-06,0,0
1,gaussian,B,heun3,3,10.0,0.3345612832491236,48,9.845614588140645e-05,0,0
1,gaussian,B,heun3,3,10.0,0.16728064162456224,96,1.1618535180253959e-05,0,0
1,gaussian,B,heun3,3,10.0,0.08364032081228068,192,1.439051662765223e-06,0,0
1,gaussian,B,heun3,3,10.0,0.04182016040614034,384,1.7982000630009604e-07,0,0
1,gaussian,B,heun3,3,10.0,0.020910080203070613,768,2.2495640650573498e-08,0,0
1,gaussian,B,heun3,3,10.0,0.010455040101534863,1536,2.8137473011349213e-09,0,0
1,gaussian,B,rk4,4,10.0,0.3345612832491236,64,6.337351493259941e-06,0,0
1,gaussian,B,rk4,4,10.0,0.16728064162456224,128,4.662424085455243e-07,0,0
1,gaussian,B,rk4,4,10.0,0.08364032081228068,256,3.1400248629704075e-08,0,0
1,gaussian,B,rk4,4,10.0,0.04182016040614034,512,2.033185330128291e-09,0,0
1,gaussian,B,rk4,4,10.0,0.020910080203070613,1024,1.2927594772701246e-10,0,0
1,gaussian,B,rk4,4,10.0,0.010455040101534863,2048,8.150689387324324e-12,0,0
1,gaussian,B,ab2,2,10.0,0.08364032081228068,65,0.0006519542689638296,0,0
1,gaussian,B,ab2,2,10.0,0.04182016040614034,129,0.000186497877651631,0,0
1,gaussian,B,ab2,2,10.0,0.020910080203070613,257,4.956782793931998e-05,0,0
1,gaussian,B,ab2,2,10.0,0.010455040101534863,513,1.2759510285746312e-05,0,0
1,gaussian,B,ab2,2,10.0,0.005227520050767431,1025,3.235774343123949e-06,0,0
1,gaussian,B,ab2,2,10.0,0.0026137600253841597,2049,8.146768938210073e-07,0,0
1,gaussian,C,ddim,1,10.0,0.3345612832491236,16,0.09463566817694813,0,0
1,gaussian,C,ddim,1,10.0,0.16728064162456224,32,0.04789587317256604,0,0
1,gaussian,C,ddim,1,10.0,0.08364032081228068,64,0.02409579085830211,0,0
1,gaussian,C,ddim,1,10.0,0.04182016040614034,128,0.0120852914239626,0,0
1,gaussian,C,ddim,1,10.0,0.020910080203070613,256,0.006052050046751205,0,0
1,gaussian,C,ddim,1,10.0,0.010455040101534863,512,0.003028383116113678,0,0
1,gaussian,C,dpm1,1,10.0,0.3345612832491236,16,0.09463566817695002,0,0
1,gaussian,C,dpm1,1,10.0,0.16728064162456224,32,0.04789587317256808,0,0
1,gaussian,C,dpm1,1,10.0,0.08364032081228068,64,0.0240957908583032,0,0
1,gaussian,C,dpm1,1,10.0,0.04182016040614034,128,0.01208529142396626,0,0
1,gaussian,C,dpm1,1,10.0,0.020910080203070613,256,0.006052050046752482,0,0
1,gaussian,C,dpm1,1,10.0,0.010455040101534863,512,0.0030283831161114893,0,0
1,gaussian,C,dpm2,2,10.0,0.6691225664982481,16,0.03615741149393091,0,0
1,gaussian,C,dpm2,2,10.0,0.3345612832491236,32,0.008579834564670676,0,0
1,gaussian,C,dpm2,2,10.0,0.16728064162456224,64,0.002086567362208928,0,0
1,gaussian,C,dpm2,2,10.0,0.08364032081228068,128,0.0005143147504574155,0,0
1,gaussian,C,dpm2,2,10.0,0.04182016040614034,256,0.0001276623730229868,0,0
1,gaussian,C,dpm2,2,10.0,0.020910080203070613,512,3.180106887243809e-05,0,0
1,gaussian,C,dpm3,3,10.0,0.8921634219976644,18,0.0038542851546825127,0,0
1,gaussian,C,dpm3,3,10.0,0.44608171099883176,36,0.00040269319725387044,0,0
1,gaussian,C,dpm3,3,10.0,0.22304085549941632,72,4.600812574753584e-05,0,0
1,gaussian,C,dpm3,3,10.0,0.11152042774970816,144,5.492799302704254e-06,0,0
1,gaussian,C,dpm3,3,10.0,0.05576021387485408,288,6.708565306114466e-07,0,0
1,gaussian,C,dpm3,3,10.0,0.027880106937426596,576,8.288584467728198e-08,0,0
